id,flow_source,total_size_source,source_url,currency,board_codes,board_names,notes
CN_ENERGY,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK0437;BK0464,煤炭;石油石化,东方财富行业板块代理：煤炭 + 石油石化
CN_FINANCIALS,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK0475;BK0473;BK0474,银行Ⅱ;证券Ⅱ;保险Ⅱ,东方财富行业板块代理：银行Ⅱ + 证券Ⅱ + 保险Ⅱ
CN_HEALTHCARE,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK1216,医药生物,东方财富行业板块代理：医药生物
CN_INDUSTRIALS,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK1205;BK1204,机械设备;国防军工,东方财富行业板块代理：机械设备 + 国防军工
CN_INTERNET,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK0447,互联网服务,东方财富行业板块代理：互联网服务
CN_MATERIALS,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK0478;BK0479;BK1019,有色金属;钢铁;化学原料,东方财富行业板块代理：有色金属 + 钢铁 + 化学原料
CN_NEW_ENERGY,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK1033;BK1031;BK1032,电池;光伏设备;风电设备,东方财富行业板块代理：电池 + 光伏设备 + 风电设备
CN_REAL_ESTATE_CHAIN,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK0451;BK1045;BK0476;BK0424,房地产开发;房地产服务;装修建材;水泥,东方财富行业板块代理：房地产开发 + 房地产服务 + 装修建材 + 水泥
CN_SEMICONDUCTOR,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK1036,半导体,东方财富行业板块代理：半导体
CN_UTILITIES,东方财富数据中心-板块资金流向公开网页接口 f62：主力净流入,东方财富行情公开网页接口 f20：总市值,https://data.eastmoney.com/bkzj/hy.html,CNY,BK0428;BK0427,电力;公用事业,东方财富行业板块代理：电力 + 公用事业
US_ENERGY,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/xle/,USD,XLE,Energy Select Sector SPDR Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_FINANCIALS,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/xlf/,USD,XLF,Financial Select Sector SPDR Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_HEALTHCARE,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/xlv/,USD,XLV,Health Care Select Sector SPDR Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_INDUSTRIALS,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/xli/,USD,XLI,Industrial Select Sector SPDR Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_INTERNET,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/fdn/,USD,FDN,First Trust Dow Jones Internet Index Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_MATERIALS,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/xlb/,USD,XLB,Materials Select Sector SPDR Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_NEW_ENERGY,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/qcln/,USD,QCLN,First Trust Nasdaq Clean Edge Green Energy Index Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_REAL_ESTATE_CHAIN,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/xhb/,USD,XHB,SPDR S&P Homebuilders ETF,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_SEMICONDUCTOR,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/smh/,USD,SMH,VanEck Semiconductor ETF,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
US_UTILITIES,StockAnalysis ETF AUM/份额快照推算：ETF 净申赎估计,StockAnalysis ETF AUM,https://stockanalysis.com/etf/xlu/,USD,XLU,Utilities Select Sector SPDR Fund,优先使用（本期份额 - 上期份额）× 本期价格；份额不可用时使用 AUM 按价格收益调整估算；当前快照 2026-07-02，对比上一个有效快照 暂无；方法：等待下一交易日快照；这不是 ETFDB/ETF.com 披露的官方 fund flow。
